,T,C,E,F
137,Las aptitudes morales y las aptitudes...,"<p>Las aptitudes morales y las aptitudes intelectuales van juntas. Un hombre bueno es inteligente, y uno malo es, además, imbécil. – Jorge Luis Borges</p>",Citas,2025-06-17 15:45
136,El camino a la Verdad,"<p>El camino a la Verdad siempre es individual, no porque la verdad sea subjetiva o relativa, tampoco porque otros puedan o no acompañarnos en el andar, sino porque debe ser experimentada personalmente, cara a cara.</p>",Apotegmas,2025-06-17 15:44
135,El Sol no tiene remedio,"<p>Así como el Sol no tiene más remedio que salir hoy y mañana, la luz del Altísimo brillará si sólo quitas la persiana.</p>",Apotegmas,2025-06-17 11:18
134,Si no encuentras a Dios en el mundo,"<p>Si no encuentras a Dios en el mundo, en el prójimo y en tu corazón, seguirás igual de insatisfecho aunque vayas al último de los cielos.</p>",Apotegmas,2025-06-17 10:23
133,Siempre hay un buen justificativo,"<p>Siempre hay un buen justificativo para iniciar una nueva inquisición, una persecución en cadena, una depuración ideológica de la sociedad.</p>",Apotegmas,2025-06-16 19:07
132,¿Quieres paz?,<p>¿Quieres paz? Prepárate para la guerra.</p>,Apotegmas,2025-06-16 19:05
131,Demonios japoneses,"<p>Demonios japoneses entran en mujeres occidentales de veintitrés años a través de vídeos cortos en la internet y estas empiezan a hablar como adolescentes de trece. En consecuencia, el gobierno emprende un plan de exorcización para desinfantilizarlas, de modo que finalmente tengan hijos. No dio resultado y el crecimiento poblacional sigue en declive.</p>",Cuentos,2025-06-16 18:02
130,Si de niño te convirtieron en un demonio...,"<p>Si de niño te convirtieron en un demonio que se alimenta y subsiste del emocionalismo propio y ajeno, ahora que has pasado los treinta tienes la capacidad de recuperarte y convertirte nuevamente en un ser humano.</p>",Reflexiones,2025-06-16 14:20
129,Desde que el hombre existe,"<p>Desde que el hombre existe, ha imaginado formas y conceptos de Dios lo peor o mejor que ha podido. O mejor dicho, el hombre ha empezado a existir por imaginar y concebir un dios, y nunca volverá a la Verdad hasta que su concepción sea la correcta o hasta que deje de imaginar uno.</p>",Reflexiones,2025-06-15 19:21
128,Lo malo de la caridad es...,<p>Lo malo de la caridad es que no tiene fondo. – Manuel Viola</p>,Citas,2025-06-15 19:18
127,¿No es curioso que las religiones consideren...,<p>¿No es curioso que las religiones consideren seres humanos únicamente a quienes las integran? El resto son animales o ciudadanos de segunda y tercera categoría.</p>,Reflexiones,2025-06-15 15:52
126,"Reza, pero no dejes de...","<p>Reza, pero no dejes de remar hacia la orilla. – Proverbio ruso</p>",Citas,2025-06-14 17:26
125,El hombre muere en todos aquellos...,<p>El hombre muere en todos aquellos que mantienen silencio ante la tiranía. – Wole Soyinka</p>,Citas,2025-06-14 17:25
124,El asesinato en el cadalso es la forma...,"<p>El asesinato en el cadalso es la forma más execrable de asesinato, por estar sancionado por la aprobación de la sociedad. – George Bernard Shaw</p>",Citas,2025-06-14 17:24
123,This above all: to thine own self...,"<p>This above all: to thine own self be true,<br>And it must follow, as the night the day,<br>Thou canst not then be false to any man.<br>– William Shakespeare</p>",Citas,2025-06-14 17:20
122,"Sin justicia, ¿qué otra cosa es el Estado...","<p>Sin justicia, ¿qué otra cosa es el Estado sino una banda de ladrones? – Agustín de Hipona</p>",Citas,2025-06-13 20:09
121,La visión traumática de Dios,<p>La visión traumática que tienes de Dios desaparece cuando te reconcilias con él.</p>,Apotegmas,2025-06-13 18:11
120,El hábito de negociar ,"<p>Tenías el hábito de negociar con el Diablo, por eso crees que se puede negociar con Dios.</p>",Apotegmas,2025-06-13 18:09
119,La verdad se explica sola,"<p>Si la verdad se explica sola y no necesita ser defendida, ¿entonces mejor por qué no te callas?</p>",Reflexiones,2025-06-13 18:06
118,Es larga la espera,<p>Es larga la espera cuando el tiempo es corto.</p>,Apotegmas,2025-06-13 18:01
117,Buscamos sentirnos seguros pensando...,"<p>Buscamos sentirnos seguros pensando que recibiremos lo que damos, pero (des)afortunadamente la realidad no es tan simplista.</p>",Reflexiones,2025-06-13 16:14
116,Ninguna cultura es buena sólo...,<p>Ninguna cultura es buena sólo por ser cultura. Ninguna tradición es buena sólo por ser tradición.</p>,Apotegmas,2025-06-13 09:50
115,Si Dios no habita en templos...,"<p>Si Dios no habita en templos hechos por manos humanas, ¿qué o quién era la entidad que habitaba en el tabernáculo? ¿Un ángel de Dios?</p>",Reflexiones,2025-06-11 22:39
114,También puedes convertirte en un fanático...,<p>También puedes convertirte en un fanático de la verdad. No es tan recomendable como parece.</p>,Reflexiones,2025-06-11 22:37
113,"Así, ¡oh conciencia!, de nosotros todos...","<p>Así, ¡oh conciencia!, de nosotros todos haces unos cobardes, y la ardiente resolución original decae al pálido mirar del pensamiento. – William Shakespeare</p>",Citas,2025-06-10 21:36
112,Es difícil amar al prójimo,"<p>Ya es algo difícil amar al prójimo sin amar a Dios, pero es casi imposible amar a Dios sin amar al prójimo.</p>",Apotegmas,2025-06-10 18:57
111,"La simplicidad de Dios es tal, que...","<p>La simplicidad de Dios es tal, que los seres humanos queremos diversificarla y complicarla, y a veces quedamos atrapados en nuestra propia creación. ¿Cómo restaurar esa primera simplicidad? Con la luz de Dios.</p>",Apotegmas,2025-06-10 18:55
110,Si sólo es realidad lo que puedes...,"<p>Si sólo es realidad lo que puedes ver, ¿cómo es que no puedes ver la realidad?</p>",Apotegmas,2025-06-10 17:15
109,Cuando creas que has logrado algo...,"<p>Cuando creas que has logrado algo, recuerda que apenas si existes. – Con amor, tu Maestra de escuela.</p>",Reflexiones,2025-06-10 17:14
108,Hay una guerra en los cielos,"<p>Hay una guerra en los cielos, y es una guerra para apoderarse de todo tu ser. Refúgiate en Dios.</p>",Apotegmas,2025-06-10 17:11
107,Corral de estrellas,<p>Si se pudiera vivir de estrellas<br>Tendrías un corral de ellas.</p>,Poesía,2025-06-10 17:10
106,"La fantasía, aislada de la razón...","<p>La fantasía, aislada de la razón, sólo produce monstruos imposibles. Unida a ella, en cambio, es la madre del arte y fuente de sus deseos. – Francisco de Goya</p>",Citas,2025-06-08 08:04
105,Los años enseñan muchas cosas...,<p>Los años enseñan muchas cosas que los días jamás llegan a conocer. – Ralph W. Emerson<p>,Citas,2025-06-07 22:22
104,Un soldado que comienza a pensar...,"<p>Un soldado que comienza a pensar, casi ha dejado de serlo. – Heinrich Böll</p>",Citas,2025-06-07 22:21
103,Si una sociedad libre no puede...,"<p>Si una sociedad libre no puede ayudar a sus muchos pobres, tampoco podrá salvar a sus pocos ricos. – John F. Kennedy</p>",Citas,2025-06-07 22:19
102,Pobre del estudiante que no aventaje...,<p>Pobre del estudiante que no aventaje a su maestro. – Leonardo da Vinci</p>,Citas,2025-06-07 22:18
101,Cuando veas un alma que anuncia el...,"<p>Cuando veas un alma que anuncia el aborto como un acto benigno, sabrás que en ella reina el príncipe de las tinieblas y que está en peligro de muerte eterna. – Pío de Pietrelcina</p>",Citas,2025-06-07 22:17
100,Mi pasatiempo favorito es dejar pasar...,"<p>Mi pasatiempo favorito es dejar pasar el tiempo, tener tiempo, tomarme mi tiempo, perder el tiempo, vivir a contratiempo. – Françoise Sagan</p>",Citas,2025-06-06 22:33
99,Un milagro ocurre cuando cambias...,<p>Un milagro ocurre cuando cambias lágrimas por oración y miedo por fe. – San Francisco de Asís</p>,Citas,2025-06-06 22:30
98,El arbolito de la fe,"<p>Ora en lo secreto, ora en silencio, entra en comunión. Necesitarás de la oración diaria para regar y sostener el arbolito de tu fe. Los frutos vienen después.</p>",Apotegmas,2025-06-06 22:27
97,El verdadero milagro,<p>El único y verdadero milagro: Que cambie tu corazón a la volundad de Dios.</p>,Apotegmas,2025-06-05 21:37
96,Es grande la cantidad de doctrinas...,"<p>Es grande la cantidad de doctrinas que han sido puestas juntas en las abundantísimas páginas de lo que hoy llamamos Biblia. Sin embargo, hay un hilo conductor, por lo general subyacente y en ocasiones manifiesto. Para tomarlo con mucha calma al hilvanar la madeja.</p>",Reflexiones,2025-06-05 21:35
95,Si no sirves con lo poco que tienes,"<p>Si no sirves a Dios con lo poco que tienes, servirás al Enemigo con lo que te sobra.</p>",Apotegmas,2025-06-03 11:39
94,La verdad siempre cambia,"<p>La verdad siempre cambia, pero sigue siendo una; como el árbol que brotó de una semilla, creció y finalmente dio fruto. Pero, a medida que el árbol llega a su desarrollo comapleto, los cambios en él no son tan notorios.</p>",Apotegmas,2025-06-03 11:38
93,Ya son unas cuantas las décadas...,"<p>Ya son unas cuantas las décadas cinematográficas en las que se ha intentado infantilizar la brujería para hacerla pasar como trivial o como un simple juego, con películas diseñadas para difundir las prácticas y hacerlas parte de la cultura.</p>",Reflexiones,2025-06-03 11:29
92,Celebremos la vida,"<p>Celebremos la vida, pero no hasta la embriaguez. Celebrémosla como el don de Dios que es.</p>",Apotegmas,2025-06-03 11:27
91,"Ríndete ante Dios, deja de bregar","<p>Ríndete ante Dios, deja de bregar, entra en el reposo, y todo lo que realmente necesite tu alma, él te lo dará.</p>",Apotegmas,2025-06-03 11:26
90,Cuando el reino de los cielos te persiga,"<p>Cuando el reino de los cielos te persiga, te juzgue y busque tu vida, refúgiate en Dios únicamente.</p>",Apotegmas,2025-06-03 11:24
89,A los seres humanos se nos hace...,<p>A los seres humanos se nos hace demasiado fácil vivir en un pasado que nunca tuvimos.</p>,Apotegmas,2025-06-03 11:12
88,Cuando una pregunta no tiene solución,"<p>Cuando una pregunta no tiene solución, es probable que no tenga sentido en absoluto. Por ejemplo: ¿En qué momento empezó a existir el universo?</p>",Reflexiones,2025-06-03 11:11
87,La santidad está más allá de los vaivenes...,"<p>La santidad está más allá de los vaivenes entre el bien y el mal; pero cuando dices que el bien y el mal no existen, pierdes la posibilidad de acceder a ella.</p>",Apotegmas,2025-06-03 11:08
86,Mientras nuestra seguridad no sea hija...,"<p>Mientras nuestra seguridad no sea hija de la razón, tendrá que ser hija del terror. – Winston Churchill</p>",Citas,2025-06-03 10:34
85,Es increíble la cantidad de personas que...,<p>Es increíble la cantidad de personas que están dispuestas a morir por las doctrinas e ideologías que alguien más les ha inoculado.</p>,Reflexiones,2025-06-03 10:33
84,Un ejercicio,<p>La existencia es un ejercicio del ser.</p>,Apotegmas,2025-06-03 10:32
83,Todo tiene sentido,<p>Todo tiene sentido hasta que lo pierde.</p>,Apotegmas,2025-06-02 22:32
82,El ignorante ve misterio en el engaño...,<p>El ignorante ve misterio en el engaño. El racionalista ve engaño en el misterio. El sabio ve el misterio.</p>,Apotegmas,2025-06-02 21:58
81,Puedes ser feliz con sólo proponértelo,"<p>Puedes ser feliz con sólo proponértelo, pero puedes ser infeliz sin proponértelo.</p>",Reflexiones,2025-06-02 10:06
80,Allá donde Sol inmenso,"<p>Allá donde Sol inmenso<br>Moja en Mar calma los pies,<br>Donde las aguas de tiempos y tiempos<br>Se evaporan por llover,<br>Verás que no hay dudas ni cuentos<br>Y que ya nadie tiene sed,<br>Que fue todo un plan maestro<br>Para que puedas volver.</p>",Poesía,2025-06-02 10:04
79,Qué hermoso es el país en el que nací...,"<p>Qué hermoso es el país en el que nací, con todos sus defectos y virtudes, sufrimientos y dichas, miserias y opulencias.</p>",Reflexiones,2025-06-02 10:01
78,Un sacrificio a la vez,"<p>Siempre que llegues a una verdad, sacrifícala en pro de otra mayor, de modo que permanezcas libre.</p>",Apotegmas,2025-06-02 09:58
77,Si te encuentras con alguien que no busca...,"<p>Si te encuentras con alguien que no busca la verdad o que ha dejado de hacerlo, sé paciente; es probable que intuya que puede ser dolorosa.</p>",Apotegmas,2025-06-01 22:52
76,Hay quienes desean tanto que venga...,"<p>Hay quienes desean tanto que venga el apocalipsis que lo crean ellos mismos, para sentir que su dios es real y para dar sustento a su falsa fe.</p>",Reflexiones,2025-06-01 22:51
75,Este mundo a veces se asemeja a...,<p>Este mundo a veces se asemeja a la externalización de las aberraciones mentales de un diosecillo psicópata. A veces.</p>,Reflexiones,2025-06-01 22:49
74,No se ataca al hablar,<p>No se ataca al hablar; no se habla al atacar.</p>,Apotegmas,2025-06-01 22:48
73,La religión siempre tiene...,"<p>La religión siempre tiene la razón, pero Dios siempre tiene la Verdad.</p>",Apotegmas,2025-05-31 09:51
72,No sabes lo que estás buscando...,"<p>No sabes lo que estás buscando, pero cuando lo encuentres lo vas a reconocer. Es una promesa.</p>",Apotegmas,2025-05-30 22:29
71,El odio te puede convertir en un marginal...,"<p>El odio te puede convertir en un marginal, pero sólo unos pocos entre los marginales están llenos de odio.</p>",Apotegmas,2025-05-30 22:27
70,Quién es usado,<p>Sólo es usado quien no sabe o no quiere servir al prójimo.</p>,Apotegmas,2025-05-30 22:15
69,Uno de los pasatiempos favoritos...,"<p>Uno de los pasatiempos favoritos del Demonio es someter a los hombres en nombre de Dios. Lo viene haciendo desde el principio de la humanidad, si acaso hubo alguno.</p>",Apotegmas,2025-05-30 22:13
68,Lo que el Cielo te da siempre es...,"<p>Lo que el Cielo te da siempre es mejor y más que lo que mereces, de modo que estar agradecido a Dios, más que una virtud loable, es un reconocimiento debido.</p>",Apotegmas,2025-05-30 22:10
67,Las luces de la metralla parecen fuegos...,<p>Las luces de la metralla parecen fuegos de artificio sólo porque las observas de lejos. Espera a que las líneas del enemigo se acerquen y la celebración cambiará para siempre.</p>,Reflexiones,2025-05-30 22:09
66,«Lo nuestro» puede ser una excusa...,<p>«Lo nuestro» puede ser una excusa para no aceptar el propio error. Un subterfugio para nunca ser juzgado.</p>,Apotegmas,2025-05-30 22:07
65,Ignora la aprensión,"<p>Ignora la aprensión, permanece en comunión y toma una decisión. En ese orden.</p>",Apotegmas,2025-05-29 09:59
64,Que nadie te haga creer...,<p>Que nadie te haga creer que eres alguien más.<p>,Apotegmas,2025-05-29 09:57
63,La tolerancia es el hábito preferido...,<p>La tolerancia es el hábito preferido de los condescendientes.<p>,Apotegmas,2025-05-29 09:56
62,Cerrarle absolutamente el paso al error...,<p>Cerrarle absolutamente el paso al error es anular la posibilidad de mejorar.</p>,Apotegmas,2025-05-27 16:11
61,No te atrevas a pensar que eres justo...,<p>No te atrevas a pensar que eres justo o que tienes la razón sólo porque te persiguen.</p>,Apotegmas,2025-05-27 16:05
60,No se llega a Dios,<p>No se llega a Dios con abstracciones.</p>,Apotegmas,2025-05-26 19:41
59,De niño creías que había un monstruo...,"<p>De niño creías que había un monstruo debajo de la cama y temblabas. Ahora que eres adulto, sabes que hay un monstruo debajo de la cama, pero te da igual.</p>",Reflexiones,2025-05-26 16:25
58,Tú harás lo posible,<p>Tú harás lo posible y Dios hará lo imposible.</p>,Apotegmas,2025-05-26 11:36
57,El mal que has hecho nunca salió de ti...,"<p>El mal que has hecho nunca salió de ti. Sigue allí agazapado, esperando el momento justo para devorarte desde dentro.</p>",Apotegmas,2025-05-25 17:23
56,Eventualmente tendrás que elegir entre Dios...,"<p>Eventualmente tendrás que elegir entre Dios y la religión, a no ser que tu religión sea Dios.</p>",Apotegmas,2025-05-25 17:17
55,"Creemos un conflicto, digamos que...","<p>Creemos un conflicto, digamos que el contrincante es el culpable y lleguemos al poder convenciendo al pueblo de que somos la única solución.</p>",Reflexiones,2025-05-25 17:15
54,Tu opinión no es humilde...,<p>Tu opinión no es humilde ni altiva; es sólo una opinión.</p>,Apotegmas,2025-05-25 17:14
53,"Extraño que parezca, algunos problemas...","<p>Extraño que parezca, algunos problemas, estados mentales, conflictos, coyunturas sociales y otras situaciones, sólo pueden ser resueltos ignorándolos o poniendo la atención en sus opuestos. Si te centras en ellos, les darás entidad, crecerán y te engullirán.</p>",Reflexiones,2025-05-24 11:08
52,A no ser que tengas alguna novedad teológica...,"<p>A no ser que tengas alguna novedad teológica con que sorprender a Dios, ¿por qué no entras en comunión y oras por al menos media hora en silencio?</p>",Apotegmas,2025-05-24 11:05
51,Que nadie desvíe tu fe de Dios...,"<p>Que nadie desvíe tu fe de Dios. La fe es una relación recíproca, incitada por Dios, que cuando cambia de objeto pierde su virtud.</p>",Apotegmas,2025-05-24 11:01
50,Olvídate de Dios,<p>Olvídate de Dios y encontrarás a Dios.</p>,Apotegmas,2025-05-23 20:36
49,Cada vez es más común escuchar a algunos...,"<p>Cada vez es más común escuchar a algunos decir que el mal y el bien no existen porque son relativos. Es al revés: el mal y el bien existen porque son relativos, y lo que buscamos es el bien menos relativo.</p>",Reflexiones,2025-05-23 15:43
48,Un corazón vacío no tendrá problemas...,<p>Un corazón vacío no tendrá problemas en llamar amor al emocionalismo.</p>,Apotegmas,2025-05-22 21:16
47,Y sucedió que los hombres crearon una religión...,"<p>Y sucedió que los hombres crearon una religión en nombre de un dios vengativo, celoso, sediento de sangre, castigador y que habita en las sombras, para esclavizarse a su ley y arrogarse el derecho de perseguir a quienes realmente buscan a Dios.</p>",Reflexiones,2025-05-22 21:14
46,"Los ateos no creen en Dios, pero...","<p>Los ateos no creen en Dios, pero de todas formas quieren que se arrepienta.</p>",Apotegmas,2025-05-22 19:38
45,"Buscar la verdad es creer, pero creer...","<p>Buscar la verdad es creer, pero creer no necesariamente es buscar la verdad.</p>",Apotegmas,2025-05-22 16:44
44,La fe es exclusiva de Dios...,<p>La fe es exclusiva de Dios. No la desperdicies en las cosas del cielo ni en las de la tierra.</p>,Apotegmas,2025-05-22 16:06
43,El populismo tiene la capacidad de convertir...,"<p>El populismo tiene la capacidad de convertir la ignorancia en identidad, la identidad en partidismo y el partidismo en totalitarismo.</p>",Apotegmas,2025-05-22 15:51
42,Si no amas al mundo como lo ama Dios,"<p>Si no amas al mundo como lo ama Dios, ni te atrevas a siquiera soñar con ir a alguno de los cielos; serías rechazado de inmediato. De todas formas, el ser humano es para estar aquí, con Dios.</p>",Reflexiones,2025-05-22 15:49
41,Sabía que era octubre,<p>Se revuelca en la tumba Colón<br>Por oír a las gentes decir<br>Que fue él quien las Américas descubre<br>Cuando sabía muy bien que era octubre.</p>,Poesía,2025-05-21 21:16
40,El punto intermedio entre una verdad y una...,"<p>El punto intermedio entre una verdad y una mentira, es siempre una mentira. El punto intermedio entre el bien y el mal, no siempre es el mal.</p>",Apotegmas,2025-05-21 21:14
39,Algunas personas no quieren aceptar...,"<p>Algunas personas no quieren aceptar la libertad que hay en Dios, porque intuyen que las consecuencias de usarla mal son peores que las de seguir siendo esclavos.</p>",Reflexiones,2025-05-21 21:13
38,Un grupo humano se transforma en multitud...,"<p>Un grupo humano se transforma en multitud manipulable cuando se vuelve sensible al carisma y no a la competencia, a la imágen y no a la idea, a la afirmación y no a la prueba, a la repetición y no a la argumentación, a la sugestión y no al razonamiento. – Jean François Revel</p>",Citas,2025-05-21 21:11
37,La mentira depura y refina la verdad...,"<p>La mentira depura y refina la verdad, y existirá hasta que la verdad se manifieste de manera absoluta.</p>",Apotegmas,2025-05-21 20:08
36,La soledad es un privilegio que...,<p>La soledad es un privilegio que pocos pueden costear y mucho menos disfrutar.</p>,Apotegmas,2025-05-21 09:35
35,En dissant la verité,"<p>En dissant la verité, nous oublions la realité.</p>",Apotegmas,2025-05-20 19:26
34,¡Hereje!,"<p>Haced una pira, que sabemos a quién quemar<br>Rociadle mucho aceite para que sufra más<br>De allende las montañas vendrán y verán<br>Que sabemos hacer justicia sin perdonar</p><p>Un mandato tenemos y de seguro se cumplirá<br>Porque somos los elegidos y no hay nadie más<br>El dios de nuestros padres nos urge a odiar<br>A quienes no se someten a su ley y voluntad</p><p>Haced una pira, que sabemos a quién quemar<br>Rociadle mucho aceite para que sufra más</p><p>Y cuando su cuerpo sea fuego, humo y hedor<br>Fervor devoto sentiremos viéndolo reventar<br>Contra sumisión y obediencia se ha levantado<br>Ha de pagar su ofensa según hemos jurado</p><p>Haced una pira, que sabemos a quién quemar<br>Rociadle mucho aceite para que sufra más</p><p>Que no se hable de olvido y misericordia<br>Que nadie se atreva a salir en su defensa<br>Ahora que tenemos sangre para derramar<br>Finalmente podremos a nuestro dios adorar</p><p>Haced una pira, que sabemos a quién quemar<br>Rociadle mucho aceite para que sufra más<br>De allende las montañas vendrán y verán<br>Que sabemos hacer justicia sin perdonar.</p>",Poesía,2025-05-20 19:07
33,Que no usen tu esperanza y tu...,<p>Que no usen tu esperanza y tu fe para darle entidad a algún dios.</p>,Apotegmas,2025-05-20 19:00
32,Espera en Dios para contemplar su...,<p>Espera en Dios para contemplar su luz y recibir su gracia.</p>,Apotegmas,2025-05-20 18:59
31,La oscuridad y el mal son mucho más que...,<p>La oscuridad y el mal son mucho más que simple ausencia de Luz y Verdad. Ve con tiento.</p>,Apotegmas,2025-05-20 18:58
30,Si tu fe y tu razón no riñen...,"<p>Si tu fe y tu razón no riñen, es porque no estás usando bien la razón o tu fe es débil.</p>",Apotegmas,2025-05-20 12:05
29,Es todo tan simple que...,<p>Es todo tan simple que bregamos por complicarlo.</p>,Apotegmas,2025-05-20 12:03
28,Todo lo que necesitas saber cabe en un...,<p>Todo lo que necesitas saber cabe en un pequeño trozo de papel o ni siquiera necesita estar escrito.</p>,Apotegmas,2025-05-20 12:01
27,"Si usas la fe para negar la realidad, el mundo...","<p>Si usas la fe para negar la realidad, el mundo te vencerá. Si la usas para entenderla, te dará sabiduría.</p>",Apotegmas,2025-05-19 18:39
26,"Somos muy afortunados, porque no podemos...","<p>Somos muy afortunados, porque no podemos tener ni hacer todo lo que queremos.</p>",Apotegmas,2025-05-19 18:35
25,Las vampiresas y el aliño de ajos,"<p>Si te pones una ristra de ajos al cuello para repeler a las vampiresas, ellas te la arrancarán en una fracción de nada y procederán a hacer un aliño con ellos, mezclándolos con la sangre que te chuparán del cuello. El único repelente verdadero es tu entereza moral.</p>",Reflexiones,2025-05-19 11:46
24,La labor eterna del ser humano siempre ha...,"<p>La labor eterna del ser humano siempre ha sido someter el reino de los cielos a Dios, mediante el sacrificio de la propia carne.</p>",Apotegmas,2025-05-19 11:45
23,"Que tu única identidad, si acaso...","<p>Que tu única identidad, si acaso necesitas alguna, sea la busca de la Verdad.</p>",Apotegmas,2025-05-19 10:42
22,Ahórrate el engorroso trámite de ir a alguno...,"<p>Ahórrate el engorroso trámite de ir a alguno de los cielos y quédate aquí, con Dios; hay trabajo por hacer.</p>",Apotegmas,2025-05-19 10:41
21,Adonde no pueden llegar ni tu vista...,"<p>Adonde no pueden llegar ni tu vista ni tu entendimiento, llega tu fe. – Agustín de Hipona</p>",Citas,2025-05-17 20:02
